nctid	criterion	cluster
NCT05091346	Have an active autoimmune disease that has required systemic treatment in the past 2 years	15
NCT05091346	Have a history of (non-infectious) pneumonitis that required steroids or has current pneumonitis	15
NCT05091346	Any bone disease/conditions as follows:	15
NCT05091346	Osteoporosis with T-score \<-2.5 by DXA scan	15
NCT05091346	Metabolic bone disease, such as hyperparathyroidism, Paget's disease or osteomalacia	15
NCT05091346	Symptomatic hypercalcemia requiring bisphosphonate therapy	14
NCT05091346	History of any fracture within 6 months prior to starting study drug	14
NCT05091346	History of symptomatic vertebral fragility fracture or any fragility fracture	15
NCT05091346	Moderate or severe morphometric vertebral fracture at baseline.	15
NCT05091346	Any condition requiring orthopedic intervention.	15
NCT05091346	Bone metastases not being treated with a bisphosphonate or denosumab	15
NCT05091346	Active viral hepatitis (B or C) as demonstrated by positive serology for participants with melanoma and CRC. Dual active hepatitis B virus (HBV) infection and hepatitis C virus (HCV) infection at study entry for participants with HCC	15
NCT05091346	Known to be human immunodeficiency virus (HIV) positive	15
NCT05091346	Received blood/platelet transfusion or G-CSF within 4 weeks before study entry	15
NCT05091346	For Melanoma only, participants with ocular melanoma are excluded. Note: Participants with mucosal melanoma will not exceed 20% of the enrolled participants in melanoma cohort in Phase	25
NCT05091346	14. For CRC only, participants are excluded if: \- have a tumor that is microsatellite instability high (MSI H)/ DNA mismatch repair-deficient (dMMR) positive	15
NCT05091346	For HCC only, participants are excluded if:	15
NCT05091346	Clear invasion to bile duct	15
NCT05091346	Have had esophageal or gastric variceal bleeding within the last 6 months. Participants in triplet treatment cohorts will be screened for esophageal or gastric varices unless such screening has been performed in the past 3 months before first dose of treatment. If varices are present, they should be treated according to institutional standards before starting study intervention; esophageal or gastric varices that require interventional treatment within 28 days prior to first dose of study drug are excluded	14
NCT05091346	History of hepatic encephalopathy within 6 months prior to starting study drug unresponsive to therapy within 3 days. Participants on rifaximin or lactulose during screening to control their hepatic encephalopathy are not allowed	14
NCT05091346	For participants in the triplet treatment cohorts only:	14
NCT05091346	Proteinuria greater than (\>) 1+ on urine dipstick testing will undergo 24-hour urine collection for quantitative assessment of proteinuria. Participants with urine protein \>=1 gram per 24 hours (g/24 hours) will be ineligible	15
NCT05091346	Bleeding or thrombotic disorders or use of anticoagulants requiring therapeutic INR monitoring (example, warfarin or similar agents). Treatment with low molecular weight heparin and factor X inhibitors is permitted	15
NCT05091346	Clinically significant hemoptysis from any source or tumor bleeding within 3 weeks prior to the first dose of study drug	14
NCT05091346	Pre-existing \>=Grade 3 gastrointestinal or non-gastrointestinal fistula	15
NCT05094700	Male or female 18-70 years of age. Participants who are over 65 years of age must be Coronavirus Disease 2019 (COVID-19) vaccinated. The site will review state issued vaccination cards as proof of vaccination	18
NCT05094700	Fitzpatrick Skin Type I-VI, across a range of races and ethnicities with at least 2 participants per each Fitzpatrick skin type	15
NCT05094700	Participants who possess mild to moderate eczema/atopic dermatitis, mild to moderate rosacea, mild to moderate acne, or mild to moderate cosmetic intolerance syndrome	15
NCT05094700	Participants willing to continue normal course of treatment (within the past 30 days) for their skin disease/condition with no changes during the study	15
NCT05094700	Participants must provide written informed consent including consent for photograph release including Health Insurance Portability and Accountability Act (HIPAA) disclosure	17
NCT05094700	Able to read, write, speak, and understand English	15
NCT05094700	Generally in good health based on medical history reported by the participant	15
NCT05094700	Intends to complete the study and is willing and able to follow all study instructions	15
NCT05098210	Female and/or male patients age \>= 18 years	28
NCT05098210	Eastern Cooperative Oncology Group (ECOG) performance status (PS) 0, 1, or 2	6
NCT05098210	Patients must have at least 1 lesion (or aggregate lesions) to obtain tumor tissue for resection of \>= 1 cm or \>= 4 core biopsies acceptable. Amenable to image (CT, ultrasound \[U/S\], or magnetic resonance imaging \[MRI\]) guided biopsy for tissue collection necessary for neoantigen identification. Either primary or metastatic sites are options for tissue collection	15
NCT05098210	Measurable disease by Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 criteria: Participants must have measurable disease, defined as at least one target lesion that can be measured in at least one dimension (longest diameter to be recorded) as \>= 10 mm, unless lymph node in which case short axis must be \>= 15 mm. Baseline imaging (for example diagnostic CT chest/abdomen/pelvis, PET CT scan and imaging of the affected extremity as appropriate), brain imaging (MRI or CT scan) must be obtained within 45 days of prior to start of first planned vaccine dose infusion. MRI can be substituted for CT in patients unable to have CT contrast	24
NCT05098210	Serum creatine \< 1.5 mg/dL or estimated glomerular filtration rate (eGFR) \> 60 mL/min	8
NCT05098210	Total bilirubin (tBili) \< 1.5 x upper limit of normal (ULN) and an aspartate aminotransferase (AST)/alanine aminotransferase (ALT) \< 2.5 x ULN and \< 5 x ULN for subjects with documented liver metastasis. Patients with suspected Gilbert syndrome may be included if tBili \> 3 but no other evidence of hepatic dysfunction	29
NCT05098210	=\< grade 1 dyspnea and arterial oxygen saturation (SaO2) \>= 92% on ambient air. If pulmonary function tests (PFTs) are performed based on the clinical judgement of the treating physician, patients with forced expiratory volume in 1 second (FEVI) \>= 70% of predicted and carbon monoxide diffusing capability (DLCO) (corrected) of \>= 60% of predicted will be eligible	15
NCT05098210	Patients with active interstitial lung disease (ILD)/pneumonitis or a history of ILD/pneumonitis requiring treatment with systemic steroids will be excluded	3
NCT05098210	Patients 60 years of age or older are required to have left ventricular ejection fraction (LVEF) evaluation performed within 60 days prior to enrollment. LVEF may be established with echocardiogram or MUGA scan, and left ejection fraction must be \>= 50%. Cardiac evaluation for other patients is at the discretion of the treating physician	3
NCT05098210	Subjects with a history of myocarditis or congestive heart failure (as defined by New York Heart Association functional classification III or IV), as well as unstable angina, serious uncontrolled cardiac arrhythmia, uncontrolled infection, or myocardial infarction 6 months prior to study entry will be excluded	15
NCT05098210	Absolute neutrophil count (ANC) \> 1000 cells/mm\^3	15
NCT05098210	Hemoglobin \>= 9 mg/dL	15
NCT05098210	Platelet count \>= 50,000/uL	15
NCT05098210	Toxicity from prior therapy must be recovered to National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version (v.)5 grade 2 or less	14
NCT05098210	Willing and able to comply with scheduled visits, treatment plan, laboratory tests, and other procedures	15
NCT05098210	Capable of understanding and providing a written informed consent	17
NCT05098210	The effects of neoantigen vaccination on the developing human fetus are unknown. For this reason, patients who are having sex that can lead to pregnancy must agree to use adequate contraception (hormonal, barrier method of birth control, or abstinence) for the duration of study participation. Should a woman become pregnant while participating in the study, she should inform her study doctor immediately and will not receive any more study treatment	27
NCT05098210	MELANOMA SPECIFIC: Tissue confirmation of melanoma: Histologically confirmed metastatic (recurrent or de novo stage IV) or unresectable locally advanced (stage IIIC or IIID) cutaneous, acral, conjunctival or mucosal melanoma, as defined by the American Joint Committee on Cancer (AJCC) v8.0. Confirmation of diagnosis must be or have been performed by internal pathology review of archival, initial or subsequent biopsy or other pathologic material at Fred Hutchinson Cancer Center (FHCC)/University of Washington Medical Center (UWMC)	25
NCT05098210	MELANOMA SPECIFIC: Patients must have received stage specific standard of care therapy per National Comprehensive Cancer Network (NCCN) guidelines and have persistent/recurrent disease after at least one line of therapy prior to enrollment on the study	14
NCT05098210	MELANOMA SPECIFIC: Known BRAF mutational status	15
NCT05098210	MELANOMA SPECIFIC: History of detectable disease during/after treatment with a PD-1 or PD-L1 inhibitor, as defined by the Society of Immunotherapy of Cancer's definition of primary or secondary resistance (Kluger and others \[et al.\], 2020):	15
NCT05098210	Drug exposure \>= 6 weeks and best response progressive disease (PD) or stable disease (SD) \< 6 months or	15
NCT05098210	Drug exposure \>= 6 months and best response complete response (CR), partial response (PR), or SD \> 6 months	15
NCT05098210	MELANOMA SPECIFIC: A confirmatory scan performed at least 4 weeks after disease persistence/progression is required but this requirement can be waived if the judgement of the treating clinician is that the patient would be at risk of rapid or symptomatic progression in that interval. This confirmatory scan can occur during production of the vaccine after enrollment	15
NCT05098210	BREAST CANCER SPECIFIC: Tissue confirmation of stage IV (recurrent or de novo metastatic) hormone receptor (HR) positive, HER2 negative breast cancer:	4
NCT05098210	Hormone receptor (HR) positive breast cancer as defined by either one, or both of the following criteria:	4
NCT05098210	Estrogen receptor (ER) positive disease defined as follows documented by a local laboratory: 1-100% positive stained cells based on de novo tumor biopsy	0
NCT05098210	Progesterone receptor (PR) positive disease defined as follows documented by a local laboratory: 1-100% positive stained cells based on de novo tumor biopsy	0
NCT05098210	Human epidermal growth factor receptor 2 (HER2) negative breast cancer (per American Society of Clinical Oncology \[ASCO\]/College of American Pathologists \[CAP\] guideline update, 2018) as documented by a local laboratory with HER2-negativity defined as:	0
NCT05098210	Immunohistochemistry score 0/1+ or 2+ and / or	15
NCT05098210	Negative by in situ hybridization (fluorescence in situ hybridization \[FISH\]/chromogenic in situ hybridization \[CISH\]/silver-enhanced in situ hybridization \[SISH\]) per ASCO/CAP guideline update, 2018	0
NCT05098210	Confirmation of diagnosis must be or have been performed by internal pathology review of archival, initial or subsequent biopsy or other pathologic material at FHCC/UWMC	15
NCT05098210	BREAST CANCER SPECIFIC: Patients must have received at least one line of systemic therapy in the metastatic setting prior to enrollment on the study and have progressive/persistent disease after	14
NCT05098210	NON-SMALL CELL LUNG CANCER SPECIFIC: Tissue confirmation of stage III unresectable or stage IV (recurrent or de novo metastatic) non-small cell lung cancer (NSCLC):	25
NCT05098210	Genetic testing must have been performed for targetable driver mutations, including EGFR, ROS1, Alk, KRAS, BRAF	15
NCT05098210	Confirmation of diagnosis must be or have been performed by internal pathology review of archival, initial or subsequent biopsy or other pathologic material at FHCC/UWMC	15
NCT05098210	NON-SMALL CELL LUNG CANCER SPECIFIC: Patients must have received at least one line of systemic therapy in the metastatic or stage II or III setting including a PD-1 or PD-L1 inhibitor prior to enrollment on the study and have progressive or recurrent disease after	14
NCT05098210	NON-SMALL CELL LUNG CANCER SPECIFIC: For patients who have received neoadjuvant, adjuvant, and/or consolidation anti-PD-1 or anti-PD-L1 for stage II or III disease, they must have experienced disease progression in less than or equal to 365 days from initiation (cycle 1 day 1) of anti-PD-1 or anti-PD-L1 therapy for this to count as the systemic therapy for advanced disease. Patients experiencing progression more than 365 days from initiation (cycle 1 day 1) of anti-PD-1 or anti-PD-L1 therapy will not be considered as having received one line of systemic therapy. These patients must have received an anti-PD-1 or anti-PD-L1 therapy for stage IV or recurrent disease	14
NCT05098821	Age 18 and above	28
NCT05098821	Diagnosis of atopic dermatitis for ≥1 year	15
NCT05098821	Inadequate response to treatment with topical medications	15
NCT05098821	Confirmed dupilumab treatment	14
NCT05099367	Groups 1,2,3,4:	15
NCT05099367	Informed consent signed	5
NCT05099367	Affiliated to social security insurance or beneficiary of social security insurance	15
NCT05099367	Aged of 18 or older Group 1: healthy volunteers: -Free from all acute and chronic pathology Group 2: diabetic patients without DFU: -Patients with type 2 diabetes according to the criteria of the American Diabetes Association (ADA), without DFU or history of DFU Group 3: diabetic patients with DFU or recent history of DFU (occurred within the last two years): -Patients with type 2 diabetes according to the criteria of the American Diabetes Association (ADA) with: One or more active grade 1A, 1C, 2A or 2C (University of Texas Classification of Diabetic Foot) foot ulcer of microvascular or mixed etiology; Or a recent history (\<2 years) of foot ulcer of microvascular or mixed etiology. Group 4 (to collect samples of foot skin biopsies to address secondary objectives ): -Patients with type 2 diabetes according to the criteria of the American Diabetes Association (ADA),with neuropathy and DFU undergoing lower-limb surgery for skin ulcer (e.g. toe amputation). Exclusion criteria Groups 1, 2 and 3:	3
NCT05099367	Unstable diabetes that has resulted in hyperosmolar coma or ketoacidosis, and/or documented increase or decrease in HbA1c of more than 2.0% within the previous 3 months.	15
NCT05099367	Presence of diabetic peripheral neuropathy above the ankle, defined as a scoring \>3 of at least two of the four stimuli of the Neuropathy Disability Score (i.e. pinprick sensation, light touch, vibration, and temperature perception) (37).	15
NCT05099367	Infected wound, treated with antibiotics in the past 15 days.	15
NCT05099367	Critical ischemia of the lower limb, defined as leg pain at rest associated with ankle pressure \<70 mmHg.	15
NCT05099367	History of hypersensitivity reaction to treprostinil, fluconazole, other azole compounds, L-NMMA, ketorolac, meloxicam, or any NSAIDs or acetylsalicylic acid, lidocaine (or any local anesthetic with an amide bond), or their excipients	15
NCT05099367	History of asthma, rhinitis, nasal polyps, angioedema, hives rash, or any other allergic reaction due to acetylsalicylic acid or any NSAID taking	15
NCT05099367	Pulmonary veno-occlusive disease (PVOD)	15
NCT05099367	Porphyria	15
NCT05099367	Hyperkalemia	15
NCT05099367	Active or uncontrolled cardiovascular disease as follows: Myocardial infarction, or angina within the previous 6 months; Severe ischemic heart disease; Arrhythmia (uncontrolled, symptomatic, requiring treatment or life-threatening); Congestive heart failure, or decompensated heart failure not medically controlled; Stroke or transient ischemic attack within the previous 3 months; Uncontrolled hypertension: systolic blood pressure (SBP)\> 180 mmHg or diastolic blood pressure (DBP)\> 105 mmHg (2 abnormal readings during visit) Valvular heart disease	15
NCT05099367	Severe liver disease (Child-Pugh C) at the time of enrollment	15
NCT05099367	Renal disease (creatinine \>2 mg/dL and/or estimated glomerular filtration rate (GFR) \<30 mL/min, history of dialysis)	8
NCT05099367	Active peptic ulcer disease, recent gastrointestinal bleeding or perforation, or history of peptic ulcer disease or gastrointestinal bleeding or perforation with NSAIDs	15
NCT05099367	Intracerebral or gastrointestinal hemorrhage, hemostasis disorder or every clinical status that may lead to bleeding	15
NCT05099367	Chronic venous disease defined as stage 4a and 4b of the Clinical-Etiological-Anatomical-Pathophysiological (CEAP) classification	15
NCT05099367	Cutaneous condition deemed incompatible with skin biopsy and dermal microdialysis by the investigator	15
NCT05099367	History of necrotic angiodermatitis	15
NCT05099367	Trauma or any clinical event susceptible to be responsible for hemorrhage within the previous 6 months	15
NCT05099367	Concomitant treatment with pentoxifylline, anticoagulants, probenecid, medicinal products known to prolong the QT interval or anti-inflammatory or analgesic dose of acetylsalicylic acid	15
NCT05099367	If concomitant treatment with NSAIDs, participants have to be stopped 1 week before the inclusion	15
NCT05099367	Pregnancy or Lactation	15
NCT05099367	Females with childbearing potential, defined as a premenopausal female capable of becoming pregnant, and not using an highly effective form of birth control. Effective birth control methods include: oral, implant or patch hormone contraception; intrauterine device; abstinence and outercourse; tubal ligation; vasectomy. Groups 1,2,3 and 4:	16
NCT05099367	Participant involved in another interventional clinical study	15
NCT05099367	Person deprived of liberty by judicial order	15
NCT05099367	Person under guardianship or curatorship	15
NCT05101096	Eastern Cooperative Oncology Group (ECOG) performance status ≤ 1	6
NCT05101096	Measurable disease by computed tomography (CT) or magnetic resonance imaging (MRI) as per RECIST Version 1.1 criteria	10
NCT05101096	Adequate hematologic counts without transfusional or growth factor support within 2 weeks of study drug initiation	15
NCT05101096	Adequate hepatic function (bilirubin ≤ 1.5 upper limit of normal (ULN)), alanine aminotransferase (ALT) and aspartate aminotransferase (AST) ≤ 2.5 ULN	29
NCT05101096	Creatinine clearance ≥ 30 mL/min	8
NCT05101096	Male and female individuals of childbearing potential who engage in heterosexual intercourse must agree to use protocol-specified method(s) of contraception.	16
NCT05101096	Phase 1 only: Histologically or cytologically confirmed advanced solid tumor that is refractory to or intolerant of all standard therapy or for which no standard therapy is available.	25
NCT05101096	Phase 2 metastatic triple-negative breast cancer (mTNBC) Cohort: Histologically or cytologically confirmed TNBC per American Society of Clinical Oncologists/College of American Pathologists (ASCO/CAP) criteria, based on the most recent analyzed biopsy or other pathology specimen. Refractory to or relapsed after at least 2 prior standard-of-care chemotherapy regimens for unresectable, locally advanced or metastatic breast cancer.	25
NCT05101096	Phase 2 hormone receptor-positive/human epidermal growth factor receptor 2-negative metastatic breast cancer (HR+/HER2- mBC) Cohort: Documented evidence of HR+/HER2- mBC confirmed by a local laboratory and defined per ASCO/CAP criteria.	0
NCT05101096	Refractory to or relapsed after 2 prior systemic chemotherapy regimens for locally advanced unresectable or metastatic disease.	25
NCT05101096	Phase 2 metastatic urothelial cancer (mUC) Cohort: Histologically documented UC that is metastatic or locally advanced unresectable.	25
NCT05101096	Progressed or recurred following receipt of platinum-containing regimen and anti-PD-1/PD-L1 therapy for metastatic or locally advanced unresectable disease Key	14
NCT05108740	Patients eligible for inclusion in this Treatment Plan have to meet all of the following criteria:	3
NCT05108740	Patient has histological or cytological confirmation of hormone-receptor positive (HR+) breast cancer.	4
NCT05108740	Patient is a postmenopausal woman: Women are considered post-menopausal and not of child bearing potential if they have had 12 months of natural (spontaneous) amenorrhea with an appropriate clinical profile (i.e. age appropriate history of vasomotor symptoms) or have had surgical bilateral oophorectomy (with or without hysterectomy), total hysterectomy or tubal ligation at least six weeks ago. In the case of oophorectomy alone, only when the reproductive status of the woman has been confirmed by follow up hormone level assessment is she considered not of child bearing potential.	15
NCT05108740	Patient has recurrence or progression of their cancer after treatment with Femara® (letrozole) or Arimidex® (anastrozole).	15
NCT05108740	Patient is willing to be treated with concomitant exemestane.	15
NCT05108740	Patient has adequate bone marrow and coagulation function as shown by: absolute neutrophil count (ANC) ≥ 1.5 × 10\^9/L; platelets ≥ 100 × 10\^9/L; hemoglobin (Hgb) ≥ 9.0 g/dL.	15
NCT05108740	Patient has adequate liver function as shown by:	15
NCT05108740	Total serum bilirubin ≤ 2.0 mg/dL,	12
NCT05108740	Serum aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ≤ 2.5 ULN (or ≤ 5x ULN in patients with liver metastases),	29
NCT05108740	INR ≤2.	1
NCT05108740	Patient has adequate renal function as shown by serum creatinine ≤ 1.5 × ULN.	8
NCT05108740	Patient has fasting serum cholesterol ≤ 300mg/dL or 7.75 mmol/L and fasting triglycerides ≤ 2.5 × ULN. NOTE: In case one or both of these thresholds are exceeded, the patient can only be included after initiation of appropriate lipid lowering medication.	15
NCT05108740	Patient will give a written informed consent obtained according to local guidelines.	17
NCT05108857	Adults with active systemic sclerosis (SSc).	15
NCT05108857	Onset of SSc (defined as first non-Raynaud symptom) not more than 5 years ago.	15
NCT05108857	Clinically active disease with proximal nailfold capillary abnormalities detected with videocapillaroscopy and/or raised inflammatory markers (CRP or ESR).	15
NCT05111561	Patients must have histologically confirmed advanced/metastatic or unresectable solid tumor that is refractory to standard therapy or has relapsed after standard therapy	25
NCT05111561	Patients must have one of the following:	3
NCT05111561	For Part 1 and 2 -	15
NCT05111561	Triple negative breast cancer (TNBC) (estrogen receptor =\< 1%, progesterone receptor =\< 1%, human epidermal growth factor receptor 2 0-1+ or non-amplified)	0
NCT05111561	Solid tumor with genomic alteration(s) activating RAS signaling including activating KRAS, NRAS, HRAS, or BRAF mutations, inactivating NF1 mutations, or BRAF fusions	15
NCT05111561	Genomic alterations should be identified locally by next generation sequencing (NGS). Patient genomic reports will be reviewed by the MD Anderson Cancer Center (MDACC) Precision Oncology Decision Support team prior to initiation of study treatment	15
NCT05111561	For Part 1, patients can have evaluable or measurable disease. For Part 2, patients must have measurable disease by the Response Evaluation Criteria in Solid Tumors (RECIST) v1.1	24
NCT05111561	Patients must be \>= 4 weeks beyond treatment with any chemotherapy (6 weeks for nitrosoureas or mitomycin C) or other investigational therapy to include hormonal, biological, or targeted agents; or at least 5 half-lives from hormonal, biological, or targeted agents, whichever is shorter at the time of study treatment initiation. Patients must be \>= 4 weeks beyond radiotherapy	14
NCT05111561	Age \>= 18 years. Because no dosing or adverse events (AE) data are currently available on the use of binimetinib and ZEN003694 (ZEN-3694) in patients \< 18 years of age, children are excluded from this study	28
NCT05111561	Eastern Cooperative Oncology Group (ECOG) performance status =\< 2 (Karnofsky \>= 60%)	6
NCT05111561	Absolute neutrophil count \>= 1,500/mcL	15
NCT05111561	Platelets \>= 125,000/mcL	15
NCT05111561	Hemoglobin \>= 8 g/dL or \>= 5.6 mmol/L	15
NCT05111561	Total bilirubin =\< 1.5 x institutional upper limit of normal (ULN) OR \< 2.0 x ULN in patients with documented Gilbert's syndrome	23
NCT05111561	Aspartate aminotransferase (AST) (serum glutamic-oxaloacetic transaminase \[SGOT\])/alanine aminotransferase (ALT) (serum glutamate pyruvate transaminase \[SGPT\]) =\< 2.5 x institutional ULN	29
NCT05111561	Calculated creatinine clearance \>= 60 mL/min/1.73 m\^2 (based on the calculated Chronic Kidney Disease-Epidemiology collaboration \[CKD-EPI\] glomerular filtration rate estimation)	8
NCT05111561	Prothrombin time =\< 1.5 x ULN	1
NCT05111561	Partial thromboplastin time =\< 1.5 x ULN	1
NCT05111561	Human immunodeficiency virus (HIV)-infected patients on effective anti-retroviral therapy with undetectable viral load within 6 months are eligible for this study	3
NCT05111561	For patients with evidence of chronic hepatitis B virus (HBV) infection, the HBV viral load must be undetectable on suppressive therapy, if indicated	15
NCT05111561	Patients with a history of hepatitis C virus (HCV) infection must have been treated and cured. For patients with HCV infection who are currently on treatment, they are eligible if they have an undetectable HCV viral load	3
NCT05111561	Patients with treated brain metastases are eligible if follow-up brain imaging after central nervous system (CNS)-directed therapy shows no evidence of progression by imaging for at least 4 weeks prior to the first dose of study treatment and any neurologic symptoms have returned to baseline, have no evidence of new or enlarging brain metastases, and are not using steroids for at least 7 days prior to the first dose of study treatment. This exception does not include carcinomatous meningitis and primary CNS cancers, which are excluded regardless of clinical stability	14
NCT05111561	Patients with a prior or concurrent malignancy whose natural history or treatment does not have the potential to interfere with the safety or efficacy assessment of the investigational regimen are eligible for this study	3
NCT05111561	Patients should be New York Heart Association Functional Classification of class 2B or better	3
NCT05111561	Patients must have corrected QT (QTcF) \< 450 msec	3
NCT05111561	The effects of ZEN003694 (ZEN-3694) and binimetinib on the developing human fetus are unknown. For this reason and because BETi agents are known to be teratogenic, women of childbearing potential and men must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry, for the duration of study participation, and 4 months after the completion of ZEN003694 (ZEN-3694) and binimetinib administration. Should a woman become pregnant or suspect she is pregnant while she or her partner is participating in this study, she should inform her treating physician immediately. Men treated or enrolled on this protocol must also agree to use adequate contraception prior to the study, for the duration of study participation, and 4 months after completion of ZEN003694 (ZEN-3694) and binimetinib administration	27
NCT05111561	Ability to understand and the willingness to sign a written informed consent document. Participants with impaired decision-making capacity (IDMC) who have a legally authorized representative (LAR) and/or family member available will also be eligible	17
NCT05112536	Suitability of therapy and patient intends to undergo curative surgery	14
NCT05112536	Documented diagnosis of estrogen receptor (ER)-negative and progesterone receptor (PR)-negative tumor	0
NCT05112536	Primary tumor ≥ 1.5 cm with any nodal status	15
NCT05112536	Provide archival tissue for the baseline tissue sample	15
NCT05112536	ECOG performance status of 0 or 1	6
NCT05112536	Demonstrates adequate organ function	15
NCT05112536	Research tumor biopsies including at least one on-treatment biopsy (and additional biopsy at baseline, if required)	15
NCT05112536	Participants of child bearing potential must be willing to use 2 forms of contraception during the study and for 6 months following study treatment	16
NCT05113251	Patients must be at least 18 years of age.	28
NCT05113251	Histologically documented HER2-positive early breast cancer (EBC) participants, including clinical stage at presentation (based on mammogram or breast MRI assessment): T0-4 (inclusive of inflammatory breast cancer), N1-3, M0 or ≥ T3, N0, M0 as determined by the AJCC staging system, 8th edition	4
NCT05113251	ECOG performance status of 0 or 1 at randomization	6
NCT05113251	Adequate organ and bone marrow function	15
NCT05113251	LVEF ≥ 50% within 28 days before randomization	15
NCT05113251	FFPE tissue block (2 cores) or 20 freshly-cut, serial tumor slides for HER2 assessment by central lab. If blocks are incomplete or fewer than 20 slides are available, participants may be eligible following discussion with the AstraZeneca Study Physician	15
NCT05113966	Adult ( ≥18 years of age), female or male participant with measurable (per RECIST v1.1), unresectable locally advanced or metastatic TNBC	25
NCT05113966	Documentation of histologically or cytologically confirmed ER-negative, PR-negative, and HER2-negative tumor per the American Society of Clinical Oncology (ASCO) and the College of American Pathologists (ASCO/CAP) criteria.	0
NCT05113966	Measurable disease as defined by RECIST v1.1.	10
NCT05113966	Considered to be eligible to receive sacituzumab govitecan-hziy treatment, in the Investigator's judgment.	15
NCT05113966	Participants must have received 2 or more prior lines of systemic therapy, at least one of them in the metastatic setting.	14
NCT05113966	Radiation therapy for metastatic disease is permitted as long as the participant has at least 1 measurable lesion that has not been irradiated. Participants should be sufficiently recovered from the effects of radiation as determined by the Investigator but must have completed radiotherapy at least 2 weeks prior to enrollment.	14
NCT05113966	ECOG performance status of 0 or	6
NCT05113966	8. Adequate organ function as demonstrated by the following laboratory values:	15
NCT05113966	Hemoglobin ≥9.0 g/dL	15
NCT05113966	Absolute neutrophil count (ANC) ≥1.5 × 10\^9/L;	15
NCT05113966	Platelet count ≥100 × 10\^9/L;	15
NCT05113966	Estimated glomerular filtration rate ≥30 mL/minute/1.73 m\^2;	15
NCT05113966	Total bilirubin ≤1.5 × upper limit of normal (ULN);	23
NCT05113966	ALT and AST ≤3 × ULN in the absence of liver metastasis or ≤5 × ULN in the presence of liver metastasis.	29
NCT05113966	Resolution of nonhematologic toxicities from prior systemic therapy, radiation therapy, or surgical procedures to Common Terminology Criteria for Adverse Events (CTCAE) ≤ Grade 1 (except alopecia or peripheral neuropathy that may be Grade 2 or less).	14
NCT05113966	Predicted life expectancy of ≥3 months.	2
NCT05113966	Contraceptive use by men or women should be consistent with local guidelines regarding the methods of contraception for those participating in clinical studies.	16
NCT05113966	Capable of giving signed informed consent, which includes compliance with the requirements and restrictions listed in the informed consent form and in this protocol.	22
NCT05115474	Histologic diagnosis of breast cancer with documentation of ER/PR/HER2 status	0
NCT05115474	Radiographic evidence of stage IV extracranial diease having progressed past first line therapy in HR+/HER2- patients	3
NCT05115474	Radiographic evidence of stage IV extracranial disease in TN and HER2+ patients	25
NCT05115474	Age ≥ 18	28
NCT05115474	Life expectancy ≥ 6 months	2
NCT05115474	Eastern Cooperative Oncology Group performance status 0 to 2	6
NCT05115474	Patients must be able to understand and the willingness to sign an informed consent for study procedures	22
NCT05115474	Stated willingness to comply with all study procedures and availability for the duration of the study	15
NCT05117060	Adult, age 18 years or older at screening.	28
NCT05117060	Diagnosis of chronic atopic dermatitis (AD).	15
NCT05117060	History of AD ≥1 year prior to baseline.	15
NCT05117060	Recent (within 6 months prior to baseline) documented history of inadequate response to topical AD treatments or subject for whom topical AD treatments are medically inadvisable.	15
NCT05117060	7.1≤ Eczema Area and Severity Index (EASI) ≤50 at baseline.	15
NCT05117060	Validated Investigator Global Assessment Scale for Atopic Dermatitis (vIGA-AD) score ≥3 at baseline.	15
NCT05117138	Age 18-70 years old, both men and women, and the survival period is more than 6 months.	9
NCT05117138	At least one assessable focus, failure of previous multi-line treatment or stable condition after treatment.	14
NCT05117138	Patients with melanoma confirmed by histopathology, patients with non-small cell lung cancer(squamous carcinoma) and head and neck squamous cell carcinoma.	3
NCT05117138	The surgically removed pathological tissue can be used for immunohistochemical detection of target protein (paraffin section should be within 5 years), and the positive expression of target protein in line with pathological diagnosis (immunohistochemical staining + + or + + +).	15
NCT05117138	Sufficient venous access for blood sampling and venous blood sampling, no contraindications for lymphocyte collection.	15
NCT05117138	Routine blood examination: white blood cell count (WBC) ≥ 3 × 10\^9 / L, lymphocyte count (ly) ≥ 0.8 × 10\^9 / L, hemoglobin (HB) ≥ 90g / L, platelet (PLT) ≥ 80 × 10\^9/L.	19
NCT05117138	Liver and kidney function: alanine aminotransferase and aspartate aminotransferase \< 3 ULN, total bilirubin (TBIL) \< 1.5 ULN, serum creatinine (SCR) \< 2 ULN.	29
NCT05117138	The subjects voluntarily joined the study, signed the informed consent form, had good compliance and cooperated with the follow-up.	5
NCT05118425	Age ≥ 18 years old.	9
NCT05118425	Confirmed diagnosis of psoriasis.	25
NCT05118425	Duration of psoriasis ≥ 3 years.	15
NCT05118425	Must be able to read and understand the questionnaire.	15
NCT05118425	Receive a full explanation of the purpose and content of the trial before the study begins, and voluntarily sign a written consent form.	22
NCT05122039	Clinical signs of Psoriasis since \>3 years	15
NCT05122039	adults (70 years old or less) and children (\>12 years old)	9
NCT05122039	willing and able to understand and sign the informed consent (plus legal representative in case of a minor)	22
NCT05125458	for subjects with dermatological diseases;	15
